class;order;list;iucn_category;exp;obt
Insecta;Megaloptera;ICMBIO;EN;1;0
Insecta;Megaloptera;ICMBIO;CR;0;0
Insecta;Megaloptera;IUCN;DD;6;0
Insecta;Megaloptera;IUCN;LC;16;0
Insecta;Megaloptera;IUCN;NT;0;0
Insecta;Megaloptera;IUCN;VU;1;0
Insecta;Megaloptera;IUCN;EN;0;0
Insecta;Megaloptera;IUCN;CR;0;0
Insecta;Megaloptera;MMA;DD;2;0
Insecta;Megaloptera;MMA;LC;20;0
Insecta;Megaloptera;MMA;NT;0;0
Insecta;Megaloptera;MMA;VU;0;0
Insecta;Megaloptera;MMA;EN;1;0
Insecta;Megaloptera;MMA;CR;0;0
Insecta;Neuroptera;ICMBIO;DD;84;0
Insecta;Neuroptera;ICMBIO;LC;312;0
Insecta;Neuroptera;ICMBIO;NT;4;0
Insecta;Neuroptera;ICMBIO;VU;12;0
Insecta;Neuroptera;ICMBIO;EN;11;0
Insecta;Neuroptera;ICMBIO;CR;9;0
Insecta;Neuroptera;IUCN;DD;116;0
Insecta;Neuroptera;IUCN;LC;287;0
Insecta;Neuroptera;IUCN;NT;5;0
Insecta;Neuroptera;IUCN;VU;10;0
Insecta;Neuroptera;IUCN;EN;8;0
Insecta;Neuroptera;IUCN;CR;7;0
Insecta;Neuroptera;MMA;DD;36;0
Insecta;Neuroptera;MMA;LC;367;0
Insecta;Neuroptera;MMA;NT;7;0
Insecta;Neuroptera;MMA;VU;8;0
Insecta;Neuroptera;MMA;EN;9;0
Insecta;Neuroptera;MMA;CR;6;0
Insecta;Odonata;ICMBIO;DD;177;194
Insecta;Odonata;ICMBIO;LC;660;521
Insecta;Odonata;ICMBIO;NT;9;5
Insecta;Odonata;ICMBIO;VU;26;11
Insecta;Odonata;ICMBIO;EN;24;6
Insecta;Odonata;ICMBIO;CR;18;4
Insecta;Odonata;IUCN;DD;246;242
Insecta;Odonata;IUCN;LC;607;596
Insecta;Odonata;IUCN;NT;10;1
Insecta;Odonata;IUCN;VU;22;17
Insecta;Odonata;IUCN;EN;17;12
Insecta;Odonata;IUCN;CR;15;16
Insecta;Odonata;MMA;DD;77;107
Insecta;Odonata;MMA;LC;777;694
Insecta;Odonata;MMA;NT;15;12
Insecta;Odonata;MMA;VU;17;10
Insecta;Odonata;MMA;EN;19;5
Insecta;Odonata;MMA;CR;13;3
Insecta;Orthoptera;ICMBIO;DD;350;0
Insecta;Orthoptera;ICMBIO;LC;1306;0
Insecta;Orthoptera;ICMBIO;NT;18;0
Insecta;Orthoptera;ICMBIO;VU;51;0
Insecta;Orthoptera;ICMBIO;EN;47;0
Insecta;Orthoptera;ICMBIO;CR;36;0
Insecta;Orthoptera;IUCN;DD;486;2
Insecta;Orthoptera;IUCN;LC;1200;10
Insecta;Orthoptera;IUCN;NT;20;2
Insecta;Orthoptera;IUCN;VU;44;2
Insecta;Orthoptera;IUCN;EN;33;0
Insecta;Orthoptera;IUCN;CR;29;0
Insecta;Orthoptera;MMA;DD;152;0
Insecta;Orthoptera;MMA;LC;1535;0
Insecta;Orthoptera;MMA;NT;29;0
Insecta;Orthoptera;MMA;VU;33;0
Insecta;Orthoptera;MMA;EN;38;2
Insecta;Orthoptera;MMA;CR;25;0
Insecta;Phasmatodea;ICMBIO;DD;45;0
Insecta;Phasmatodea;ICMBIO;LC;167;0
Insecta;Phasmatodea;ICMBIO;NT;2;0
Insecta;Phasmatodea;ICMBIO;VU;7;0
Insecta;Phasmatodea;ICMBIO;EN;6;0
Insecta;Phasmatodea;ICMBIO;CR;5;0
Insecta;Phasmatodea;IUCN;DD;62;0
Insecta;Phasmatodea;IUCN;LC;154;0
Insecta;Phasmatodea;IUCN;NT;3;0
Insecta;Phasmatodea;IUCN;VU;6;0
Insecta;Phasmatodea;IUCN;EN;4;0
Insecta;Phasmatodea;IUCN;CR;4;0
Insecta;Phasmatodea;MMA;DD;19;0
Insecta;Phasmatodea;MMA;LC;196;0
Insecta;Phasmatodea;MMA;NT;4;0
Insecta;Phasmatodea;MMA;VU;4;0
Insecta;Phasmatodea;MMA;EN;5;0
Insecta;Phasmatodea;MMA;CR;3;0
Insecta;Plecoptera;ICMBIO;DD;38;0
Insecta;Plecoptera;ICMBIO;LC;143;0
Insecta;Plecoptera;ICMBIO;NT;2;0
Insecta;Plecoptera;ICMBIO;VU;6;0
Insecta;Plecoptera;ICMBIO;EN;5;0
Insecta;Plecoptera;ICMBIO;CR;4;0
Insecta;Plecoptera;IUCN;DD;53;0
Insecta;Plecoptera;IUCN;LC;132;0
Insecta;Plecoptera;IUCN;NT;2;0
Insecta;Plecoptera;IUCN;VU;5;0
Insecta;Plecoptera;IUCN;EN;4;0
Insecta;Plecoptera;IUCN;CR;3;0
Insecta;Plecoptera;MMA;DD;17;0
Insecta;Plecoptera;MMA;LC;169;0
Insecta;Plecoptera;MMA;NT;3;0
Insecta;Plecoptera;MMA;VU;4;0
Insecta;Plecoptera;MMA;EN;4;0
Insecta;Plecoptera;MMA;CR;3;0
Insecta;Protura;ICMBIO;DD;5;0
Insecta;Protura;ICMBIO;LC;19;0
Insecta;Protura;ICMBIO;NT;0;0
Insecta;Protura;ICMBIO;VU;1;0
Insecta;Protura;ICMBIO;EN;1;0
Insecta;Protura;ICMBIO;CR;1;0
Insecta;Protura;IUCN;DD;7;0
